id,code,cluster_code,adm0_code,adm0_name,prov_text_code,adm1_code,adm1_name,adm2_code,adm2_name,adm3_code,adm3_name,adm4_code,adm4_name,adm5_code,adm5_name,urban_rural,carto_house_count,carto_pop_count,import_code,status,comment,created_by,updated_by,created_at,updated_at,cluster_id
96,CE155,1409SC,,,CE,01,CENTRAL,0105,KAPIRI MPOSHI,01051,KAPIRI MPOSHI,0105107,KAPIRI MPOSHI,01051072092,,Urban,202,998,init1,,OKAY,,,2025-01-16 22:40:56.053000000,2025-01-16 22:40:56.053000000,203
97,CE154,1409SC,,,CE,01,CENTRAL,0105,KAPIRI MPOSHI,01051,KAPIRI MPOSHI,0105107,KAPIRI MPOSHI,01051072102,,Urban,179,922,init1,,OKAY,,,2025-01-16 22:40:56.053000000,2025-01-16 22:40:56.053000000,203
98,CE153,1409SC,,,CE,01,CENTRAL,0105,KAPIRI MPOSHI,01051,KAPIRI MPOSHI,0105107,KAPIRI MPOSHI,01051072108,,Urban,180,867,init1,,OKAY,,,2025-01-16 22:40:56.053000000,2025-01-16 22:40:56.053000000,203
99,CE152,1409SC,,,CE,01,CENTRAL,0105,KAPIRI MPOSHI,01051,KAPIRI MPOSHI,0105107,KAPIRI MPOSHI,01051072114,,Urban,173,813,init1,,OKAY,,,2025-01-16 22:40:56.053000000,2025-01-16 22:40:56.053000000,203
100,CE151,1409SC,,,CE,01,CENTRAL,0105,KAPIRI MPOSHI,01051,KAPIRI MPOSHI,0105107,KAPIRI MPOSHI,01051072120,,Urban,175,845,init1,,OKAY,,,2025-01-16 22:40:56.053000000,2025-01-16 22:40:56.053000000,203
101,CE150,2371BG,,,CE,01,CENTRAL,0105,KAPIRI MPOSHI,01051,KAPIRI MPOSHI,0105109,KASHITU,01051091001,,Rural,77,382,init1,,OKAY,,,2025-01-16 22:40:56.053000000,2025-01-16 22:40:56.053000000,39
102,CE149,2371BG,,,CE,01,CENTRAL,0105,KAPIRI MPOSHI,01051,KAPIRI MPOSHI,0105109,KASHITU,01051091005,,Rural,106,542,init1,,OKAY,,,2025-01-16 22:40:56.053000000,2025-01-16 22:40:56.053000000,39
103,CE148,2371BG,,,CE,01,CENTRAL,0105,KAPIRI MPOSHI,01051,KAPIRI MPOSHI,0105109,KASHITU,01051091010,,Rural,61,243,init1,,OKAY,,,2025-01-16 22:40:56.053000000,2025-01-16 22:40:56.053000000,39
104,CE147,2371BG,,,CE,01,CENTRAL,0105,KAPIRI MPOSHI,01051,KAPIRI MPOSHI,0105109,KASHITU,01051091014,,Rural,100,540,init1,,OKAY,,,2025-01-16 22:40:56.053000000,2025-01-16 22:40:56.053000000,39
105,CE146,2371BG,,,CE,01,CENTRAL,0105,KAPIRI MPOSHI,01051,KAPIRI MPOSHI,0105109,KASHITU,01051091018,,Rural,56,275,init1,,OKAY,,,2025-01-16 22:40:56.053000000,2025-01-16 22:40:56.053000000,39
106,CE145,2371BG,,,CE,01,CENTRAL,0105,KAPIRI MPOSHI,01051,KAPIRI MPOSHI,0105109,KASHITU,01051091023,,Rural,122,748,init1,,OKAY,,,2025-01-16 22:40:56.053000000,2025-01-16 22:40:56.053000000,39
